Time_s,M1_X,M1_Y,M1_Z
0.0301744,0.124407569587463,-0.00341601215215159,0.00405536598571354
0.4816606,0.124476365538807,-0.00339137699701775,0.00422397969022387
1.178178,0.124464502817177,-0.0034417077374751,0.00420099115244557
1.2986784,0.124419817710483,-0.00343939695927253,0.00417181435210351
1.4750345,0.124456930798994,-0.00345746895265031,0.00412797951508276
1.583639,0.124444922423453,-0.00342781115306212,0.0041009861479985
1.7185388,0.124448315395451,-0.00340015060610632,0.00415471753540883
1.8822754,0.124488510427818,-0.00345549138392043,0.00410719668969767
1.9931479,0.124502907674516,-0.00321225273769721,0.00419362915279453
2.1254977,0.122558187710915,-0.00285290932439652,0.00442182422107407
2.269321,0.117692580953127,-0.0022645846612388,0.00479319298899011
2.4027122,0.111089791418691,-0.00174584844843539,0.00456872806618921
2.5530846,0.106948201479948,-0.0011248217234654,0.00537910920437007
2.685397,0.106890091230225,-0.00119242808687359,0.00530487091858392
2.8138491,0.106814129564779,-0.00116043303536228,0.00523273976706895
2.9419303,0.106799095104773,-0.00120080970195735,0.00524272016019614
3.0694974,0.10684172193619,-0.00112610859314888,0.00529057644636804
3.2017554,0.106925479953192,-0.00116106097241908,0.00542391107754159
3.33697,0.104969312517883,-0.000974926343131344,0.00534430409836764
3.472652,0.103060109468024,-0.000752781416010873,0.00539076765141527
3.5997823,0.103061164856021,-0.000826033281017491,0.00546036889107909
3.727248,0.10290789690435,-0.000802024471017626,0.00524759009963383
3.832765,0.103003130633165,-0.000904680800335012,0.00552131152536392
3.9623914,0.103029911030222,-0.000867385702306711,0.0055385530116551
4.0912264,0.102862852676246,-0.000959487893811284,0.00539646809241084
4.2202285,0.102844255573885,-0.000877778348503,0.00543401168696434
4.330145,0.102968618845157,-0.000925031846412905,0.00551051816082918
4.4579091,0.102851073267893,-0.000953038856305932,0.00546873926861965
4.585644,0.103002574646579,-0.000971115962368874,0.005514833570848
4.7221505,0.102854956546126,-0.00103925070139876,0.00542722466813933
4.8502011,0.102870693359339,-0.00105603141141097,0.00531245141823161
4.9768676,0.102861562647768,-0.00104971581993074,0.00528182081436876
5.1071054,0.102995566270828,-0.000924326131647168,0.00570047132541152
5.2379469,0.127831298437837,-0.0037580712635148,0.0041099859844661
5.368942,0.124585408994978,-0.00345252832474041,0.00424885002611491
5.4979072,0.119519031717876,-0.00292600659140807,0.00442761993929222
5.6261897,0.126462894021153,-0.00352169684272141,0.00427194229101929
5.7584367,0.124282895844442,-0.00340928880236002,0.00434726706913513
5.904682,0.12425949476376,-0.0034066097522667,0.00429360203158863
6.0340538,0.124290411298537,-0.00335895787104956,0.0042522934606663
6.1652522,0.124269756540239,-0.00342778712976077,0.00421241111194698
6.3097527,0.124306461533185,-0.00347247860566346,0.00400623090142629
6.4430174,0.124299002122422,-0.00339682538716102,0.00417990872411997
6.574928,0.124249885786253,-0.00347130066737478,0.00423858937376786
6.7045101,0.124273139230585,-0.00337892696690134,0.00421371166294002
6.8344265,0.124296229339398,-0.00336946677262673,0.00423652256715407
6.9642102,0.124250647854796,-0.00342345051873139,0.00420712640848558
7.0931951,0.12429516797497,-0.00331708694544086,0.00427981827982346
7.2223137,0.124274695506218,-0.00343256537473202,0.00424178249447182
7.3522499,0.12429298715534,-0.00329696534240642,0.00433042756921367
7.4842066,0.124271421815841,-0.00337500511778832,0.00421693297842662
7.6129139,0.124251747150218,-0.00331738663948955,0.00432000469905813
7.7425225,0.124272718322513,-0.00336837605480067,0.00421533804132723
7.8714927,0.124287059291499,-0.0033749817580353,0.00426021465750151
8.0038057,0.124282928314467,-0.00335637494730689,0.00427467981344404
8.1107756,0.124256102882376,-0.00346277785867533,0.00418610369668951
8.247117,0.124257197779907,-0.00340695534119284,0.00424641051009961
8.3819798,0.124288835450697,-0.00339840073658948,0.00424650420464223
8.5180341,0.124268365558711,-0.00340972779997539,0.00426837397320814
8.6238778,0.124272788176112,-0.00344009143159596,0.00421734223960882
8.7515295,0.124253749215439,-0.00342032060444142,0.00424778282461433
8.884213,0.124245917027525,-0.00344593993991649,0.00424351786572741
9.0230827,0.124270489885174,-0.00342078387715117,0.00419278036337373
