Time_s,M1_X,M1_Y,M1_Z
0.0303692,0.102845301483758,-0.00130589330735591,0.00482936745955893
0.2661059,0.102809389218455,-0.00129162422251927,0.00482904002251986
0.3831008,0.102848331150341,-0.00129882793103051,0.00482469782546785
0.4921078,0.102886526869651,-0.00118640216888746,0.00489081736081837
0.6161058,0.102767762489274,-0.0012952501825341,0.00483833572756893
0.756043,0.102838329350249,-0.0012499761705235,0.00491419951267015
0.8667122,0.102826844681524,-0.00126559237306168,0.00492421821227302
0.9728057,0.10283316115443,-0.00131331357241179,0.00476152681016599
1.0804318,0.102817876184321,-0.00121437217844655,0.00495299932964101
1.1873477,0.102808690172982,-0.00114999253691465,0.00495606008837355
1.2954941,0.10283009227525,-0.0011880874264553,0.00498616935601567
1.4060012,0.102858748750195,-0.00104684976007059,0.00498399320952849
1.516685,0.102840768447928,-0.00113375405365842,0.00467324603952365
1.6273649,0.123185157843319,-0.00327035239703864,0.00439526275682817
1.7391083,0.131685628700305,-0.00420746820424079,0.00380298499730578
1.8492501,0.116267834917399,-0.0024504388948669,0.00455898341104019
1.9600788,0.124726052565633,-0.00363906355158675,0.00392350213652449
2.0698431,0.125765922310913,-0.00343745220378701,0.00427860028725005
2.1854362,0.124449320713966,-0.00337624685324127,0.00440367228350759
2.3021294,0.124420959979874,-0.00335914138703723,0.00439438236503403
2.4150009,0.124432778204137,-0.00332820287411145,0.00434577074320406
2.5247101,0.124461978907673,-0.00333591947520173,0.00445098812344047
2.6355645,0.124425279778404,-0.00333958977207398,0.00448838999910548
2.752346,0.124449250614119,-0.00336167664286761,0.00443656340200503
2.8612657,0.124477172670663,-0.00340627691202336,0.00440637738204272
2.966291,0.124439288590038,-0.00343031679369834,0.00435496841823435
3.0772789,0.124415040726795,-0.00341957215036874,0.00434470613717994
