Time_s,M1_X,M1_Y,M1_Z,M2_X,M2_Y,M2_Z,M3_X,M3_Y,M3_Z,M4_X,M4_Y,M4_Z
0.0093309,0.124074082430171,-0.00354643320761228,0.00400989660639584,0.469828588863494,-0.038827321953802,-0.00495713763117933,1.94104867015673,1.34205172015537,-0.134574201944598,0.751447231679016,-0.0679125596527621,-0.0124903616202466
0.1228663,0.124045725413275,-0.00357798421812094,0.00407019444980608,0.469790953898127,-0.0392281396933414,-0.00497030378227692,1.94258217663537,1.33981258043372,-0.136118467082864,0.75137926017344,-0.0686658647843301,-0.0124933340723541
0.2375811,0.123990852568704,-0.00362274557805242,0.00404580664177287,0.469734059422176,-0.039319404537518,-0.00501594670583555,1.94270445381357,1.33957517872934,-0.136057293048076,0.751320292744464,-0.0687774678312203,-0.0125705051823185
0.349047,0.124045444252936,-0.00357416944914868,0.00410299547298099,0.469759073783546,-0.0392476220305953,-0.0049350807299133,1.9426586648138,1.3397642675269,-0.135510650566539,0.751362025544481,-0.0686607312491783,-0.0124514989131206
0.4592115,0.124041009948381,-0.00360351559332361,0.00397105417995675,0.469738691642357,-0.0393805281019739,-0.00520662563330412,1.94287737699527,1.33929963817413,-0.136932439183127,0.751334355906206,-0.0688763694301746,-0.0128969183949651
0.5802596,0.124040263850112,-0.00358917374995738,0.00396770312286437,0.469636568303323,-0.0393513883592924,-0.00539516055477218,1.94257100502493,1.33954023846498,-0.137204632045108,0.751247182684954,-0.0687828165610096,-0.0131520485043052
0.6919588,0.124081632251408,-0.00357389018018872,0.00408366228924825,0.469828588602879,-0.0392451385103816,-0.00507446120750671,1.9426950496776,1.33971330744856,-0.136315075660848,0.751410227034252,-0.0686854988690393,-0.0127147679525697
0.801302,0.124058427627604,-0.00357822497668869,0.00408544322765866,0.469814287704059,-0.0393344394384632,-0.00487768730239513,1.94297018110247,1.33934956961492,-0.135539986848068,0.751380941764656,-0.0688538783260628,-0.0124105585295862
0.909371,0.124044055732227,-0.00357835407171914,0.00408396512188861,0.46977423398761,-0.0391884244854495,-0.00492347217870484,1.94240372249812,1.34010655715311,-0.135516414974172,0.751407617109828,-0.0685499068297131,-0.012403421696468
1.0171931,0.124000114946963,-0.00354736220069984,0.00404994410813753,0.469761708558053,-0.0391109536539127,-0.00504035492812749,1.94213971932956,1.34030434100093,-0.136919039982527,0.751365001771948,-0.0684479456506641,-0.0126553364031158
1.1252892,0.124020301333102,-0.00358385671974637,0.00410150387989497,0.469756527211857,-0.0392252369357757,-0.00478981430903352,1.942604157952,1.33987840695533,-0.135217827401413,0.751369089880516,-0.068621956241641,-0.0122140970912054
1.238321,0.124056751691266,-0.00360165292026338,0.00412562828526061,0.469851785656572,-0.0389908098124394,-0.00470175703225115,1.94171898798546,1.3413426056425,-0.133032744062811,0.751479025726903,-0.0681819511282258,-0.0120800497241641
1.3484367,0.124061252532416,-0.00359043010919868,0.00406187469553287,0.469746123620577,-0.0393283427160491,-0.00516898075612016,1.94279807824087,1.33948866267345,-0.136315973858441,0.751352608690104,-0.0687761511608675,-0.0128299764487798
1.4589695,0.124051041151474,-0.00355182791951636,0.00406028053477897,0.469757325428179,-0.0392541965781907,-0.00497605826511094,1.94265930423639,1.33970665075467,-0.136038516385536,0.751363257974723,-0.0686957015775489,-0.0125303221621346
1.5688097,0.124035887951524,-0.00358140084428915,0.00401226708290275,0.469811479908444,-0.0389200467627404,-0.00495149437668169,1.94130313614488,1.34175740756583,-0.133802098818477,0.751445421873852,-0.0680409198944267,-0.0125154353553469
1.6788492,0.124026128605691,-0.00356068417090083,0.00405078658585248,0.469782022875884,-0.039168479150121,-0.00499053651537948,1.9422957673282,1.34019839471474,-0.136032382934899,0.751377043622026,-0.0685280753324669,-0.0125495991178569
1.7892175,0.124048625521498,-0.00353478205366931,0.00406241424419809,0.469787699932066,-0.039150733442928,-0.00488774421596799,1.94243020631111,1.34007905570945,-0.135970795870543,0.751393803900004,-0.0685320457897376,-0.0123920041637335
1.8994509,0.124063212614323,-0.00358977151107576,0.00403712208140913,0.469769185797031,-0.0392807296873841,-0.00498940936682354,1.94272744386235,1.33968348197232,-0.135487544520761,0.751376683457509,-0.0687237679062942,-0.0125526761737077
2.0107851,0.124022500808168,-0.0035754930896843,0.00407027978365862,0.469738495005168,-0.0392460392203176,-0.00481276656989774,1.94261437707043,1.33981602581787,-0.135218185261901,0.751370361974535,-0.0686805599841154,-0.0122478855124853
2.1230594,0.124049451026716,-0.00357578859575902,0.00410573246918033,0.469756875154904,-0.0392347110009239,-0.00479456076489926,1.94263670755841,1.33983686197551,-0.135224227491536,0.751372947420476,-0.0686667140357025,-0.012244608213548
2.2352288,0.124067324157295,-0.00356068654457276,0.00412394114453879,0.469807717166853,-0.0392750658731282,-0.00485002630690454,1.94289681235062,1.33953908225323,-0.135292704533607,0.751398784292918,-0.0687373666556332,-0.0123548408555782
2.3465234,0.124008906774763,-0.00358371726340612,0.00413315637292738,0.469763062800166,-0.039253237232691,-0.00473142493205658,1.9426918525255,1.33976022855461,-0.135037857722264,0.751380578911555,-0.0686732874259186,-0.0121511530775144
2.4576946,0.12403367281156,-0.00357734017991196,0.00409619436657768,0.46975312146521,-0.0392628128263781,-0.00473782613253476,1.9427437839632,1.33970335828425,-0.134859005609016,0.751371876418612,-0.0686980819411447,-0.0121446900422811
2.5686027,0.124036619142301,-0.00357183218673707,0.00411593588857037,0.46983307713844,-0.038822532517218,-0.00474400260979332,1.9411809881391,1.34204827875261,-0.133224050299672,0.751476292311504,-0.0679070099846986,-0.0121455595191068
2.6803896,0.124106575296891,-0.00350587722456441,0.00423735964112423,0.469882561500726,-0.0391392440060281,-0.00442576767054445,1.94265401964231,1.34012648598001,-0.133873605484084,0.751495197802958,-0.0685355795910203,-0.0116908568883517
2.7925899,0.124043365767351,-0.00357531908752184,0.00408913516489456,0.469823076692508,-0.0388912217685771,-0.0047252084944534,1.94137282123814,1.3417899198445,-0.133019129308147,0.751394147723864,-0.0680181106708011,-0.012286162317229
2.9040452,0.124058248405179,-0.00355390986601667,0.00407433212887071,0.469797585675788,-0.0392062666425603,-0.00507614630298298,1.94254651292947,1.33982158083881,-0.137071654309974,0.751372871537822,-0.068632415356995,-0.0127271746286332
3.0151035,0.124048253946146,-0.00357120982595083,0.00405904820019157,0.469766678108748,-0.0392876682730328,-0.00502812199679006,1.94282219750996,1.33952987563702,-0.135731605416829,0.751371347998093,-0.0687805727969211,-0.012580785924408
3.1294515,0.124044818734547,-0.00358116683989995,0.00400444521864471,0.469795006502044,-0.0392590348841788,-0.00526069781499267,1.94258651441659,1.33976320786009,-0.136853972383717,0.751356898545506,-0.0686866776169557,-0.0129980236652649
3.2400458,0.124012949168131,-0.00355475031836439,0.0041196533806738,0.469782420034083,-0.0391302957710498,-0.00478730095658642,1.94234667826736,1.34028781866601,-0.134970275234132,0.751401108256083,-0.0684933535911172,-0.0122002252489281
3.3520413,0.124033786535832,-0.00353617515423843,0.00399088495810879,0.469790941245396,-0.0391294835086879,-0.00513952929591491,1.94217864622758,1.34030823526602,-0.136956643135375,0.751383253337021,-0.06845885346356,-0.012797475155845
3.4646345,0.124039479345044,-0.00355153982552481,0.00417346718874817,0.469786528277478,-0.0391523468473647,-0.00464734425067037,1.94245674289531,1.34019682855445,-0.134551974252624,0.751375984224758,-0.0684936650150691,-0.0120326268984335
