Time_s,M1_X,M1_Y,M1_Z
0.0298448,0.103582141409716,-0.00176417733277545,0.00521889230761424
0.1515653,0.103496976396601,-0.00186973447666827,0.00522527268054634
0.2760505,0.103529203554572,-0.00190058901308321,0.00508676592074617
0.3932402,0.103497712615061,-0.00203937640556795,0.0052483212421067
0.5205512,0.103419743650703,-0.00197856051552492,0.0048106572067052
0.6622867,0.103410797284511,-0.00207461084875904,0.00492963651222023
0.7742544,0.103387480448021,-0.00204133974095488,0.00509734012054414
0.8856848,0.103373883765432,-0.00207988673916093,0.00469870833409283
0.9958812,0.103378100320986,-0.00205558730513244,0.00483450991922552
1.1056959,0.103382163990333,-0.00198780440934021,0.00498426755801054
1.2134455,0.103365208762306,-0.00221000873834343,0.00482760323538692
1.3225339,0.10334408281042,-0.00208724226836998,0.00463077271596937
1.4317737,0.123178795615347,-0.00397598630624119,0.00351792009693119
1.5411752,0.136265962730537,-0.00428289485857691,0.00290063344253633
1.650838,0.118279439902074,-0.00240605403016914,0.00291613942057159
1.7644732,0.122517694004898,-0.00388771414250533,0.00364410836933554
1.8808654,0.126697309174253,-0.00403782723828994,0.00261245217106831
1.9893293,0.125316717984286,-0.00453876819485211,0.00313502699676044
2.0942599,0.125145687023628,-0.00356138212067325,0.00259753905520652
