Time_s,M1_X,M1_Y,M1_Z
0.0096559,-1.72990810871124,1.49222636222839,0.0660951361060143
0.1239135,-1.72987627983093,1.49223256111145,0.0660517439246178
0.2364671,-1.72989463806152,1.49226140975952,0.0660395622253418
0.3551426,-1.72987723350525,1.49226951599121,0.0661125853657722
0.4699508,-1.72988831996918,1.49225413799286,0.0661401003599167
0.5907248,-1.72989475727081,1.49225068092346,0.0660634115338326
0.7076469,-1.7298938035965,1.49224281311035,0.066071093082428
0.8205992,-1.72987103462219,1.49224698543549,0.0660914182662964
0.9338402,-1.72986137866974,1.492262840271,0.0660585686564445
1.0447463,-1.72989618778229,1.49225437641144,0.0660191401839256
1.1554765,-1.72992622852325,1.49227643013,0.0660986378788948
1.2677104,-1.729945063591,1.49226224422455,0.0660815462470055
1.3809854,-1.72987926006317,1.49224543571472,0.066112145781517
1.4942623,-1.72986257076263,1.49227523803711,0.0661904960870743
1.6077614,-1.72990036010742,1.49226582050323,0.0660334974527359
1.7218357,-1.72197437286377,1.4934766292572,0.065833643078804
1.8352841,-1.69734823703766,1.49368846416473,0.0657740160822868
1.949108,-1.71540367603302,1.49339914321899,0.0657910481095314
2.0644658,-1.70994639396667,1.49340343475342,0.0659214481711388
2.1792346,-1.70667254924774,1.49359595775604,0.0657873749732971
2.295023,-1.70847249031067,1.49352359771729,0.0657622441649437
2.4087566,-1.70844268798828,1.49353539943695,0.0658294856548309
2.5231262,-1.70845723152161,1.49354219436646,0.065803624689579
2.6375917,-1.70840466022491,1.49358248710632,0.0658410936594009
2.7481104,-1.70844626426697,1.49353647232056,0.0658157914876938
