Time_s,M1_X,M1_Y,M1_Z,M2_X,M2_Y,M2_Z,M3_X,M3_Y,M3_Z,M4_X,M4_Y,M4_Z
0.0325988,-1.70926880836487,1.48511862754822,0.0659258142113686,-1.36162567138672,1.49311280250549,0.0671336799860001,0,-0,0,-1.07846593856812,1.50001931190491,0.0679699033498764
0.1507467,-1.70925843715668,1.48510575294495,0.0658883303403854,-1.36161983013153,1.49312353134155,0.0671487525105476,0,-0,0,-1.07847547531128,1.50003457069397,0.0679706707596779
0.2689759,-1.70920050144196,1.48510801792145,0.065943107008934,-1.36161625385284,1.49312472343445,0.0671501830220222,0,-0,0,-1.07848954200745,1.50003135204315,0.0679656863212585
0.3821963,-1.70917475223541,1.48511457443237,0.0660299137234688,-1.36168766021729,1.49314546585083,0.0671207830309868,0,-0,0,-1.07848966121674,1.50002646446228,0.0679399371147156
0.5063212,-1.70916163921356,1.48510336875916,0.0659675449132919,-1.36163949966431,1.4931206703186,0.0671431347727776,0,-0,0,-1.07848119735718,1.50002634525299,0.0679634734988213
0.651731,-1.70924472808838,1.48513436317444,0.0659533143043518,-1.36163032054901,1.4931435585022,0.067155048251152,0,-0,0,-1.07847678661346,1.50005543231964,0.067962184548378
0.7620078,-1.70915293693542,1.48509836196899,0.0659328922629356,-1.36163449287415,1.49311900138855,0.0671252384781837,0,-0,0,-1.078488945961,1.50002551078796,0.0679507777094841
0.8731444,-1.70924317836761,1.48511302471161,0.0659147724509239,-1.36162912845612,1.49311685562134,0.0671368911862373,0,-0,0,-1.07849073410034,1.50004518032074,0.0679352208971977
0.9834029,-1.70922303199768,1.48513221740723,0.0660288035869598,-1.36160850524902,1.4931116104126,0.0671550035476685,0,-0,0,-1.07854616641998,1.50004971027374,0.0677958503365517
1.094231,-1.70928192138672,1.48509848117828,0.0658477246761322,-1.36167466640472,1.49314415454865,0.0671471953392029,0,-0,0,-1.07849264144897,1.50007474422455,0.0679257810115814
1.2050216,-1.70925414562225,1.48510909080505,0.0658616423606873,-1.36163437366486,1.49313533306122,0.0671416223049164,0,-0,0,-1.07848131656647,1.50004196166992,0.0679495856165886
1.3162008,-1.7093608379364,1.48514318466187,0.065785713493824,-1.36168098449707,1.4931538105011,0.0671438574790955,0,-0,0,-1.07847583293915,1.50004935264587,0.0679698511958122
1.4265116,-1.70932602882385,1.48514175415039,0.0658125802874565,-1.36162304878235,1.49312078952789,0.0671512633562088,0,-0,0,-1.07847690582275,1.50002658367157,0.067974291741848
1.737285,-1.70932865142822,1.48513948917389,0.0658183395862579,-1.361612200737,1.49312222003937,0.0671434253454208,0,-0,0,-1.07847881317139,1.50002217292786,0.0679508373141289
1.8471437,-1.70928108692169,1.48510122299194,0.065836563706398,-1.36162483692169,1.49312627315521,0.0671579912304878,0,-0,0,-1.07848453521729,1.50004482269287,0.0679690539836884
1.9573214,-1.70927357673645,1.48510658740997,0.0658590123057365,-1.36163997650146,1.49313974380493,0.067135751247406,0,-0,0,-1.07849133014679,1.5000479221344,0.067956954240799
2.0674414,-1.70928037166595,1.48513495922089,0.0658783987164497,-1.36162519454956,1.49313282966614,0.0671401470899582,0,-0,0,-1.07848417758942,1.50004136562347,0.0679447203874588
2.1785294,-1.70914614200592,1.48510777950287,0.0659731402993202,-1.36164665222168,1.49313831329346,0.0671371817588806,0,-0,0,-1.0784991979599,1.50004470348358,0.0679711475968361
2.2883955,-1.70943367481232,1.48512482643127,0.065719448029995,-1.36162841320038,1.49312317371368,0.0671545714139938,0,-0,0,-1.07844769954681,1.5000251531601,0.067980021238327
2.3997858,-1.70944714546204,1.48513007164001,0.0657063201069832,-1.36165058612823,1.49313497543335,0.0671277865767479,0,-0,0,-1.07851660251617,1.50004005432129,0.0679382756352425
2.51043,-1.70946443080902,1.48512744903564,0.0656767934560776,-1.36166429519653,1.49313306808472,0.0671081095933914,0,-0,0,-1.07851183414459,1.50003612041473,0.0679308623075485
2.6229763,-1.70949018001556,1.48514378070831,0.0656781047582626,-1.3616281747818,1.49313926696777,0.0671316310763359,0,-0,0,-1.07848393917084,1.50004708766937,0.0679537653923035
2.7330358,-1.70945692062378,1.48513031005859,0.0656641200184822,-1.36163556575775,1.49313378334045,0.067128024995327,0,-0,0,-1.07851421833038,1.50006246566772,0.0679464340209961
2.846829,-1.70944726467133,1.48514997959137,0.0658232048153877,-1.36161255836487,1.49312007427216,0.0671558305621147,0,-0,0,-1.07854831218719,1.50003004074097,0.0677956640720367
2.9582062,-1.70946478843689,1.48515748977661,0.0658469498157501,-1.36164307594299,1.49313521385193,0.0671325027942657,0,-0,0,-1.07846927642822,1.50003790855408,0.0679608806967735
3.0651584,-1.70945584774017,1.48514175415039,0.0657262280583382,-1.3616578578949,1.49313294887543,0.0671192929148674,0,-0,0,-1.07850813865662,1.50004136562347,0.0679491609334946
3.1731442,-1.70944786071777,1.48515486717224,0.0658320337533951,-1.36163544654846,1.49312520027161,0.0671269446611404,0,-0,0,-1.078488945961,1.50002634525299,0.0679541379213333
3.2841498,-1.70947325229645,1.48516702651978,0.065827913582325,-1.36163508892059,1.49313771724701,0.0671204403042793,0,-0,0,-1.07849848270416,1.50003683567047,0.0679346695542336
3.3945647,-1.70942449569702,1.48514640331268,0.0657104700803757,-1.36162006855011,1.49314343929291,0.0671470835804939,0,-0,0,-1.07848274707794,1.50005757808685,0.0679697468876839
3.5043068,-1.70941233634949,1.48513233661652,0.0657132714986801,-1.36158132553101,1.49311745166779,0.0671857893466949,0,-0,0,-1.07848227024078,1.50003337860107,0.0679384171962738
